"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2016","1.0660","1.0589","1.0670","1.0583","","0.71%"
"11/30/2016","1.0585","1.0650","1.0668","1.0553","","-0.58%"
"11/29/2016","1.0647","1.0615","1.0657","1.0564","","0.32%"
"11/28/2016","1.0613","1.0599","1.0685","1.0563","","0.27%"
"11/25/2016","1.0584","1.0553","1.0630","1.0537","","0.30%"
"11/24/2016","1.0552","1.0554","1.0587","1.0517","","-0.04%"
"11/23/2016","1.0556","1.0627","1.0645","1.0525","","-0.64%"
"11/22/2016","1.0624","1.0629","1.0660","1.0583","","-0.03%"
"11/21/2016","1.0627","1.0585","1.0650","1.0578","","0.40%"
"11/18/2016","1.0585","1.0625","1.0644","1.0568","","-0.38%"
"11/17/2016","1.0625","1.0691","1.0747","1.0618","","-0.56%"
"11/16/2016","1.0685","1.0722","1.0761","1.0665","","-0.33%"
"11/15/2016","1.0720","1.0737","1.0818","1.0712","","-0.13%"
"11/14/2016","1.0734","1.0852","1.0852","1.0707","","-1.07%"
"11/11/2016","1.0850","1.0894","1.0925","1.0829","","-0.36%"
"11/10/2016","1.0889","1.0909","1.0957","1.0864","","-0.18%"
"11/09/2016","1.0909","1.1026","1.1301","1.0905","","-1.03%"
"11/08/2016","1.1023","1.1041","1.1068","1.1007","","-0.14%"
"11/07/2016","1.1038","1.1136","1.1139","1.1027","","-0.87%"
"11/04/2016","1.1135","1.1105","1.1146","1.1079","","0.29%"
"11/03/2016","1.1103","1.1098","1.1127","1.1059","","0.08%"
"11/02/2016","1.1094","1.1057","1.1124","1.1049","","0.37%"
"11/01/2016","1.1053","1.0981","1.1071","1.0958","","0.67%"
"10/31/2016","1.0979","1.0987","1.0994","1.0935","","-0.04%"
"10/28/2016","1.0983","1.0897","1.0993","1.0890","","0.82%"
"10/27/2016","1.0894","1.0909","1.0943","1.0882","","-0.12%"
"10/26/2016","1.0907","1.0889","1.0947","1.0871","","0.19%"
"10/25/2016","1.0886","1.0882","1.0906","1.0850","","0.06%"
"10/24/2016","1.0880","1.0880","1.0901","1.0859","","-0.02%"
"10/21/2016","1.0882","1.0930","1.0934","1.0858","","-0.42%"
"10/20/2016","1.0928","1.0974","1.1041","1.0915","","-0.40%"
"10/19/2016","1.0972","1.0981","1.1006","1.0954","","-0.05%"
"10/18/2016","1.0978","1.1000","1.1027","1.0968","","-0.17%"
"10/17/2016","1.0997","1.0974","1.1010","1.0963","","0.26%"
"10/14/2016","1.0969","1.1056","1.1061","1.0968","","-0.79%"
"10/13/2016","1.1056","1.1008","1.1060","1.0984","","0.45%"
"10/12/2016","1.1006","1.1054","1.1071","1.1003","","-0.43%"
"10/11/2016","1.1053","1.1139","1.1146","1.1048","","-0.75%"
"10/10/2016","1.1137","1.1197","1.1204","1.1129","","-0.55%"
"10/07/2016","1.1199","1.1151","1.1208","1.1103","","0.45%"
"10/06/2016","1.1149","1.1205","1.1214","1.1139","","-0.47%"
"10/05/2016","1.1202","1.1204","1.1235","1.1189","","0.00%"
"10/04/2016","1.1202","1.1211","1.1240","1.1136","","-0.06%"
"10/03/2016","1.1209","1.1236","1.1245","1.1205","","-0.26%"
"09/30/2016","1.1238","1.1223","1.1251","1.1151","","0.15%"
"09/29/2016","1.1221","1.1217","1.1250","1.1196","","0.06%"
"09/28/2016","1.1214","1.1215","1.1237","1.1181","","0.01%"
"09/27/2016","1.1213","1.1252","1.1263","1.1189","","-0.36%"
